function,inv_max_fpr,projected_eles,num_gen_eles,len_gen_eles,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,actual_fpr,num_hashes,table_size
TestBloomFilterStringQuery,2,1000,8,10,565927,1231.84,1231.11,ns,,,,,,0,1,1448
TestBloomFilterStringQuery,8,1000,8,10,562306,1242.95,1241.7,ns,,,,,,0,3,4328
TestBloomFilterStringQuery,64,1000,8,10,567567,1236.07,1235.06,ns,,,,,,0,6,8656
TestBloomFilterStringQuery,512,1000,8,10,563572,1235.93,1235.5,ns,,,,,,0,9,12984
TestBloomFilterStringQuery,2048,1000,8,10,571022,1233.76,1233.88,ns,,,,,,0,11,15872
TestBloomFilterStringQuery,2,4096,8,10,565836,1232.22,1232.14,ns,,,,,,0,1,5912
TestBloomFilterStringQuery,8,4096,8,10,570146,1234.89,1235.01,ns,,,,,,0,3,17728
TestBloomFilterStringQuery,64,4096,8,10,564230,1239.31,1239.48,ns,,,,,,0,6,35456
TestBloomFilterStringQuery,512,4096,8,10,570586,1230.97,1230.91,ns,,,,,,0,9,53184
TestBloomFilterStringQuery,2048,4096,8,10,569483,1230.67,1230.9,ns,,,,,,0,11,65008
TestBloomFilterStringQuery,2,32768,8,10,564506,1236.52,1236.58,ns,,,,,,0,1,47280
TestBloomFilterStringQuery,8,32768,8,10,571028,1240.18,1240.24,ns,,,,,,0,3,141824
TestBloomFilterStringQuery,64,32768,8,10,568861,1241.49,1241.33,ns,,,,,,0,6,283648
TestBloomFilterStringQuery,512,32768,8,10,559008,1244.56,1244.54,ns,,,,,,0,9,425472
TestBloomFilterStringQuery,2048,32768,8,10,567206,1236.12,1236.31,ns,,,,,,0,11,520016
TestBloomFilterStringQuery,2,262144,8,10,568953,1233.85,1233.85,ns,,,,,,0,1,378200
TestBloomFilterStringQuery,8,262144,8,10,567595,1247.98,1247.97,ns,,,,,,0,3,1.13458e+06
TestBloomFilterStringQuery,64,262144,8,10,561965,1237.91,1237.76,ns,,,,,,0,6,2.26917e+06
TestBloomFilterStringQuery,512,262144,8,10,564682,1241.41,1241.3,ns,,,,,,0,9,3.40374e+06
TestBloomFilterStringQuery,2048,262144,8,10,563229,1241.61,1241.64,ns,,,,,,0,11,4.16014e+06
TestBloomFilterStringQuery,2,1000000,8,10,564835,1236.65,1236.4,ns,,,,,,0,1,1.4427e+06
TestBloomFilterStringQuery,8,1000000,8,10,563806,1234.27,1234.22,ns,,,,,,0,3,4.32809e+06
TestBloomFilterStringQuery,64,1000000,8,10,567568,1235.33,1235.37,ns,,,,,,0,6,8.65618e+06
TestBloomFilterStringQuery,512,1000000,8,10,565439,1233.93,1234.03,ns,,,,,,0,9,1.29843e+07
TestBloomFilterStringQuery,2048,1000000,8,10,563956,1236.24,1235.68,ns,,,,,,0,11,1.58696e+07
TestBloomFilterStringQuery,2,1000,64,10,255091,2765.87,2764.94,ns,,,,,,0,1,1448
TestBloomFilterStringQuery,8,1000,64,10,252541,2755.69,2754.5,ns,,,,,,0,3,4328
TestBloomFilterStringQuery,64,1000,64,10,252139,2757.16,2756.65,ns,,,,,,0,6,8656
TestBloomFilterStringQuery,512,1000,64,10,254115,2753.02,2752.71,ns,,,,,,0,9,12984
TestBloomFilterStringQuery,2048,1000,64,10,254739,2784.62,2783.16,ns,,,,,,0,11,15872
TestBloomFilterStringQuery,2,4096,64,10,254632,2761.52,2761.25,ns,,,,,,0,1,5912
TestBloomFilterStringQuery,8,4096,64,10,253052,2782.14,2781.36,ns,,,,,,0,3,17728
TestBloomFilterStringQuery,64,4096,64,10,254455,2763.39,2763.35,ns,,,,,,0,6,35456
TestBloomFilterStringQuery,512,4096,64,10,253119,2750.78,2750.66,ns,,,,,,0,9,53184
TestBloomFilterStringQuery,2048,4096,64,10,255205,2751.56,2751.38,ns,,,,,,0,11,65008
TestBloomFilterStringQuery,2,32768,64,10,253845,2744.29,2744.35,ns,,,,,,0,1,47280
TestBloomFilterStringQuery,8,32768,64,10,255044,2753.79,2752.97,ns,,,,,,0,3,141824
TestBloomFilterStringQuery,64,32768,64,10,253134,2770.12,2769.77,ns,,,,,,0,6,283648
TestBloomFilterStringQuery,512,32768,64,10,251835,2764.47,2763.45,ns,,,,,,0,9,425472
TestBloomFilterStringQuery,2048,32768,64,10,252654,2764.63,2763.93,ns,,,,,,0,11,520016
TestBloomFilterStringQuery,2,262144,64,10,253884,2762.34,2761.85,ns,,,,,,0,1,378200
TestBloomFilterStringQuery,8,262144,64,10,252017,2772.14,2771.03,ns,,,,,,0,3,1.13458e+06
TestBloomFilterStringQuery,64,262144,64,10,250504,2821.19,2816.64,ns,,,,,,0,6,2.26917e+06
TestBloomFilterStringQuery,512,262144,64,10,251356,2785.44,2784.8,ns,,,,,,0,9,3.40374e+06
TestBloomFilterStringQuery,2048,262144,64,10,251848,2780.42,2779.98,ns,,,,,,0,11,4.16014e+06
TestBloomFilterStringQuery,2,1000000,64,10,252287,2776.71,2776.28,ns,,,,,,0,1,1.4427e+06
TestBloomFilterStringQuery,8,1000000,64,10,249941,2798.22,2797.5,ns,,,,,,0,3,4.32809e+06
TestBloomFilterStringQuery,64,1000000,64,10,250700,2795.36,2795.25,ns,,,,,,0,6,8.65618e+06
TestBloomFilterStringQuery,512,1000000,64,10,250315,2796.16,2795.76,ns,,,,,,0,9,1.29843e+07
TestBloomFilterStringQuery,2048,1000000,64,10,250575,2789.98,2789.52,ns,,,,,,0,11,1.58696e+07
TestBloomFilterStringQuery,2,1000,512,10,46835,15170.4,15170.7,ns,,,,,,0,1,1448
TestBloomFilterStringQuery,8,1000,512,10,47066,14893.4,14894.6,ns,,,,,,0,3,4328
TestBloomFilterStringQuery,64,1000,512,10,47080,14858,14858,ns,,,,,,0,6,8656
TestBloomFilterStringQuery,512,1000,512,10,46850,14916.3,14914.7,ns,,,,,,0,9,12984
TestBloomFilterStringQuery,2048,1000,512,10,47059,14857.1,14856.3,ns,,,,,,0,11,15872
TestBloomFilterStringQuery,2,4096,512,10,46959,14884.3,14883.2,ns,,,,,,0,1,5912
TestBloomFilterStringQuery,8,4096,512,10,47069,14896.4,14895.7,ns,,,,,,0,3,17728
TestBloomFilterStringQuery,64,4096,512,10,47213,14866.7,14865.9,ns,,,,,,0,6,35456
TestBloomFilterStringQuery,512,4096,512,10,46971,14884.4,14883.8,ns,,,,,,0,9,53184
TestBloomFilterStringQuery,2048,4096,512,10,46804,14898.5,14897.3,ns,,,,,,0,11,65008
TestBloomFilterStringQuery,2,32768,512,10,47052,14857.9,14856.7,ns,,,,,,0,1,47280
TestBloomFilterStringQuery,8,32768,512,10,47071,14943.5,14942.8,ns,,,,,,0,3,141824
TestBloomFilterStringQuery,64,32768,512,10,46193,15275.1,15273.4,ns,,,,,,0,6,283648
TestBloomFilterStringQuery,512,32768,512,10,46027,15075.3,15079.2,ns,,,,,,0,9,425472
TestBloomFilterStringQuery,2048,32768,512,10,46423,15119.2,15123.5,ns,,,,,,0,11,520016
TestBloomFilterStringQuery,2,262144,512,10,46449,15026.4,15028.6,ns,,,,,,0,1,378200
TestBloomFilterStringQuery,8,262144,512,10,46318,15157.4,15161.4,ns,,,,,,0,3,1.13458e+06
TestBloomFilterStringQuery,64,262144,512,10,45969,15211.5,15214.1,ns,,,,,,0,6,2.26917e+06
TestBloomFilterStringQuery,512,262144,512,10,45581,15331.3,15335.6,ns,,,,,,0,9,3.40374e+06
TestBloomFilterStringQuery,2048,262144,512,10,45751,15303.6,15306.6,ns,,,,,,0,11,4.16014e+06
TestBloomFilterStringQuery,2,1000000,512,10,46168,15147.9,15154.1,ns,,,,,,0,1,1.4427e+06
TestBloomFilterStringQuery,8,1000000,512,10,45541,15357.6,15363.5,ns,,,,,,0,3,4.32809e+06
TestBloomFilterStringQuery,64,1000000,512,10,45249,15393.3,15399.8,ns,,,,,,0,6,8.65618e+06
TestBloomFilterStringQuery,512,1000000,512,10,45372,15413.8,15419.1,ns,,,,,,0,9,1.29843e+07
TestBloomFilterStringQuery,2048,1000000,512,10,45316,15444.5,15450.3,ns,,,,,,0,11,1.58696e+07
TestBloomFilterStringQuery,2,1000,4096,10,6274,111526,111524,ns,,,,,,0,1,1448
TestBloomFilterStringQuery,8,1000,4096,10,6275,111315,111314,ns,,,,,,0,3,4328
TestBloomFilterStringQuery,64,1000,4096,10,6203,112575,112576,ns,,,,,,0,6,8656
TestBloomFilterStringQuery,512,1000,4096,10,6293,111065,111064,ns,,,,,,0,9,12984
TestBloomFilterStringQuery,2048,1000,4096,10,6278,111077,111077,ns,,,,,,0,11,15872
TestBloomFilterStringQuery,2,4096,4096,10,6286,111849,111855,ns,,,,,,0,1,5912
TestBloomFilterStringQuery,8,4096,4096,10,6286,111081,111080,ns,,,,,,0,3,17728
TestBloomFilterStringQuery,64,4096,4096,10,6289,111077,111076,ns,,,,,,0,6,35456
TestBloomFilterStringQuery,512,4096,4096,10,6292,111086,111085,ns,,,,,,0,9,53184
TestBloomFilterStringQuery,2048,4096,4096,10,6275,111177,111178,ns,,,,,,0,11,65008
TestBloomFilterStringQuery,2,32768,4096,10,6236,111218,111217,ns,,,,,,0,1,47280
TestBloomFilterStringQuery,8,32768,4096,10,6277,111339,111341,ns,,,,,,0,3,141824
TestBloomFilterStringQuery,64,32768,4096,10,6137,113779,113789,ns,,,,,,0,6,283648
TestBloomFilterStringQuery,512,32768,4096,10,6189,113107,113126,ns,,,,,,0,9,425472
TestBloomFilterStringQuery,2048,32768,4096,10,6176,112976,112989,ns,,,,,,0,11,520016
TestBloomFilterStringQuery,2,262144,4096,10,6196,112925,112941,ns,,,,,,0,1,378200
TestBloomFilterStringQuery,8,262144,4096,10,6090,114035,114051,ns,,,,,,0,3,1.13458e+06
TestBloomFilterStringQuery,64,262144,4096,10,6062,115286,115301,ns,,,,,,0,6,2.26917e+06
TestBloomFilterStringQuery,512,262144,4096,10,6022,116646,116648,ns,,,,,,0,9,3.40374e+06
TestBloomFilterStringQuery,2048,262144,4096,10,5961,116713,116723,ns,,,,,,0,11,4.16014e+06
TestBloomFilterStringQuery,2,1000000,4096,10,6053,114418,114433,ns,,,,,,0,1,1.4427e+06
TestBloomFilterStringQuery,8,1000000,4096,10,5860,119882,119885,ns,,,,,,0,3,4.32809e+06
TestBloomFilterStringQuery,64,1000000,4096,10,5861,119288,119308,ns,,,,,,0,6,8.65618e+06
TestBloomFilterStringQuery,512,1000000,4096,10,5895,118585,118601,ns,,,,,,0,9,1.29843e+07
TestBloomFilterStringQuery,2048,1000000,4096,10,5816,119376,119391,ns,,,,,,0,11,1.58696e+07
TestBloomFilterStringQuery,2,1000,8192,10,3155,221978,221976,ns,,,,,,0,1,1448
TestBloomFilterStringQuery,8,1000,8192,10,3156,221648,221644,ns,,,,,,0,3,4328
TestBloomFilterStringQuery,64,1000,8192,10,3169,220806,220806,ns,,,,,,0,6,8656
TestBloomFilterStringQuery,512,1000,8192,10,3165,221608,221606,ns,,,,,,0,9,12984
TestBloomFilterStringQuery,2048,1000,8192,10,3158,222979,222975,ns,,,,,,0,11,15872
TestBloomFilterStringQuery,2,4096,8192,10,3131,222539,222535,ns,,,,,,0,1,5912
TestBloomFilterStringQuery,8,4096,8192,10,3164,220886,220887,ns,,,,,,0,3,17728
TestBloomFilterStringQuery,64,4096,8192,10,3166,221137,221138,ns,,,,,,0,6,35456
TestBloomFilterStringQuery,512,4096,8192,10,3162,221009,221010,ns,,,,,,0,9,53184
TestBloomFilterStringQuery,2048,4096,8192,10,3166,221209,221208,ns,,,,,,0,11,65008
TestBloomFilterStringQuery,2,32768,8192,10,3165,221722,221719,ns,,,,,,0,1,47280
TestBloomFilterStringQuery,8,32768,8192,10,3153,221592,221596,ns,,,,,,0,3,141824
TestBloomFilterStringQuery,64,32768,8192,10,3120,223246,223256,ns,,,,,,0,6,283648
TestBloomFilterStringQuery,512,32768,8192,10,3112,225121,225134,ns,,,,,,0,9,425472
TestBloomFilterStringQuery,2048,32768,8192,10,3111,225233,225243,ns,,,,,,0,11,520016
TestBloomFilterStringQuery,2,262144,8192,10,3114,227258,227280,ns,,,,,,0,1,378200
TestBloomFilterStringQuery,8,262144,8192,10,3094,230826,230834,ns,,,,,,0,3,1.13458e+06
TestBloomFilterStringQuery,64,262144,8192,10,3029,230830,230844,ns,,,,,,0,6,2.26917e+06
TestBloomFilterStringQuery,512,262144,8192,10,2980,234610,234623,ns,,,,,,0,9,3.40374e+06
TestBloomFilterStringQuery,2048,262144,8192,10,2977,235055,235085,ns,,,,,,0,11,4.16014e+06
TestBloomFilterStringQuery,2,1000000,8192,10,3049,229079,229081,ns,,,,,,0,1,1.4427e+06
TestBloomFilterStringQuery,8,1000000,8192,10,2843,245227,245263,ns,,,,,,0,3,4.32809e+06
TestBloomFilterStringQuery,64,1000000,8192,10,2873,243470,243499,ns,,,,,,0,6,8.65618e+06
TestBloomFilterStringQuery,512,1000000,8192,10,2875,243310,243343,ns,,,,,,0,9,1.29843e+07
TestBloomFilterStringQuery,2048,1000000,8192,10,2844,245524,245560,ns,,,,,,0,11,1.58696e+07
TestBloomFilterStringQuery,2,1000,8,64,566505,1229.61,1229.13,ns,,,,,,0,1,1448
TestBloomFilterStringQuery,8,1000,8,64,568381,1227.65,1227.46,ns,,,,,,0,3,4328
TestBloomFilterStringQuery,64,1000,8,64,568017,1237.92,1237.35,ns,,,,,,0,6,8656
TestBloomFilterStringQuery,512,1000,8,64,567339,1235.09,1234.56,ns,,,,,,0,9,12984
TestBloomFilterStringQuery,2048,1000,8,64,569559,1233.92,1233.79,ns,,,,,,0,11,15872
TestBloomFilterStringQuery,2,4096,8,64,571005,1232.69,1232.39,ns,,,,,,0,1,5912
TestBloomFilterStringQuery,8,4096,8,64,567797,1236.8,1236.55,ns,,,,,,0,3,17728
TestBloomFilterStringQuery,64,4096,8,64,571021,1231.86,1231.59,ns,,,,,,0,6,35456
TestBloomFilterStringQuery,512,4096,8,64,569849,1232.74,1232.44,ns,,,,,,0,9,53184
TestBloomFilterStringQuery,2048,4096,8,64,569749,1227.94,1227.63,ns,,,,,,0,11,65008
TestBloomFilterStringQuery,2,32768,8,64,567626,1232.11,1231.21,ns,,,,,,0,1,47280
TestBloomFilterStringQuery,8,32768,8,64,562775,1233,1233.24,ns,,,,,,0,3,141824
TestBloomFilterStringQuery,64,32768,8,64,569331,1239.72,1239.43,ns,,,,,,0,6,283648
TestBloomFilterStringQuery,512,32768,8,64,568253,1232.11,1231.81,ns,,,,,,0,9,425472
TestBloomFilterStringQuery,2048,32768,8,64,568059,1245.64,1243.65,ns,,,,,,0,11,520016
TestBloomFilterStringQuery,2,262144,8,64,566690,1235.08,1234.99,ns,,,,,,0,1,378200
TestBloomFilterStringQuery,8,262144,8,64,565860,1240.58,1240.2,ns,,,,,,0,3,1.13458e+06
TestBloomFilterStringQuery,64,262144,8,64,566023,1236.47,1235.97,ns,,,,,,0,6,2.26917e+06
TestBloomFilterStringQuery,512,262144,8,64,568175,1233.7,1233.61,ns,,,,,,0,9,3.40374e+06
TestBloomFilterStringQuery,2048,262144,8,64,566579,1234.81,1234.39,ns,,,,,,0,11,4.16014e+06
TestBloomFilterStringQuery,2,1000000,8,64,557577,1234.35,1234.13,ns,,,,,,0,1,1.4427e+06
TestBloomFilterStringQuery,8,1000000,8,64,568244,1235.14,1234.92,ns,,,,,,0,3,4.32809e+06
TestBloomFilterStringQuery,64,1000000,8,64,568462,1235.31,1235,ns,,,,,,0,6,8.65618e+06
TestBloomFilterStringQuery,512,1000000,8,64,566230,1236.6,1236.21,ns,,,,,,0,9,1.29843e+07
TestBloomFilterStringQuery,2048,1000000,8,64,565639,1234.63,1234.54,ns,,,,,,0,11,1.58696e+07
TestBloomFilterStringQuery,2,1000,64,64,253891,2760.17,2760.14,ns,,,,,,0,1,1448
TestBloomFilterStringQuery,8,1000,64,64,253089,2763.44,2761.52,ns,,,,,,0,3,4328
TestBloomFilterStringQuery,64,1000,64,64,253256,2770.62,2770.22,ns,,,,,,0,6,8656
TestBloomFilterStringQuery,512,1000,64,64,253917,2753.12,2752.07,ns,,,,,,0,9,12984
TestBloomFilterStringQuery,2048,1000,64,64,254531,2753.88,2753.71,ns,,,,,,0,11,15872
TestBloomFilterStringQuery,2,4096,64,64,254771,2750.57,2750.25,ns,,,,,,0,1,5912
TestBloomFilterStringQuery,8,4096,64,64,255021,2745.07,2744.6,ns,,,,,,0,3,17728
TestBloomFilterStringQuery,64,4096,64,64,254553,2752.38,2751.65,ns,,,,,,0,6,35456
TestBloomFilterStringQuery,512,4096,64,64,253142,2755.65,2754.99,ns,,,,,,0,9,53184
TestBloomFilterStringQuery,2048,4096,64,64,253409,2752.02,2751.52,ns,,,,,,0,11,65008
TestBloomFilterStringQuery,2,32768,64,64,254447,2755.69,2755.43,ns,,,,,,0,1,47280
TestBloomFilterStringQuery,8,32768,64,64,254188,2756.4,2755.85,ns,,,,,,0,3,141824
TestBloomFilterStringQuery,64,32768,64,64,253963,2751.18,2750.96,ns,,,,,,0,6,283648
TestBloomFilterStringQuery,512,32768,64,64,253333,2766.13,2765.3,ns,,,,,,0,9,425472
TestBloomFilterStringQuery,2048,32768,64,64,254952,2747.38,2747.13,ns,,,,,,0,11,520016
TestBloomFilterStringQuery,2,262144,64,64,253885,2764.41,2763.95,ns,,,,,,0,1,378200
TestBloomFilterStringQuery,8,262144,64,64,253037,2768.56,2767.82,ns,,,,,,0,3,1.13458e+06
TestBloomFilterStringQuery,64,262144,64,64,252006,2782.41,2782.44,ns,,,,,,0,6,2.26917e+06
TestBloomFilterStringQuery,512,262144,64,64,251440,2786.63,2785.87,ns,,,,,,0,9,3.40374e+06
TestBloomFilterStringQuery,2048,262144,64,64,252558,2780.99,2780.7,ns,,,,,,0,11,4.16014e+06
TestBloomFilterStringQuery,2,1000000,64,64,252017,2767.03,2766.76,ns,,,,,,0,1,1.4427e+06
TestBloomFilterStringQuery,8,1000000,64,64,251200,2770.87,2771.03,ns,,,,,,0,3,4.32809e+06
TestBloomFilterStringQuery,64,1000000,64,64,250830,2792.18,2791.66,ns,,,,,,0,6,8.65618e+06
TestBloomFilterStringQuery,512,1000000,64,64,250590,2796.86,2796.45,ns,,,,,,0,9,1.29843e+07
TestBloomFilterStringQuery,2048,1000000,64,64,250940,2787.46,2786.99,ns,,,,,,0,11,1.58696e+07
TestBloomFilterStringQuery,2,1000,512,64,47096,14864.6,14864.3,ns,,,,,,0,1,1448
TestBloomFilterStringQuery,8,1000,512,64,47163,14867,14866.6,ns,,,,,,0,3,4328
TestBloomFilterStringQuery,64,1000,512,64,47151,14824.1,14823.4,ns,,,,,,0,6,8656
TestBloomFilterStringQuery,512,1000,512,64,47071,14848.3,14847.6,ns,,,,,,0,9,12984
TestBloomFilterStringQuery,2048,1000,512,64,47199,14821.8,14821.2,ns,,,,,,0,11,15872
TestBloomFilterStringQuery,2,4096,512,64,47112,14872.2,14871.5,ns,,,,,,0,1,5912
TestBloomFilterStringQuery,8,4096,512,64,47061,14846.7,14846,ns,,,,,,0,3,17728
TestBloomFilterStringQuery,64,4096,512,64,47145,14819.7,14818.8,ns,,,,,,0,6,35456
TestBloomFilterStringQuery,512,4096,512,64,47059,14851.9,14851.5,ns,,,,,,0,9,53184
TestBloomFilterStringQuery,2048,4096,512,64,47186,14827.6,14827,ns,,,,,,0,11,65008
TestBloomFilterStringQuery,2,32768,512,64,47181,14853.6,14853.7,ns,,,,,,0,1,47280
TestBloomFilterStringQuery,8,32768,512,64,46723,15002.7,15011.3,ns,,,,,,0,3,141824
